"electric field:0","electric field:1","electric field:2","potential","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0981891,0.0698652,-39450.8,26388.6,1,1,0.668976,0,0,-1.86502
0.0958349,0.0849073,-39450.9,26588.5,1,1,0.674044,0,0,-1.85996
0.0912189,0.0996195,-39451.1,26788.4,1,1,0.679112,0,0,-1.85489
0.0843307,0.114005,-39451.2,26988.3,1,1,0.68418,0,0,-1.84982
0.0751688,0.128065,-39451.3,27188.3,1,1,0.689248,0,0,-1.84475
0.0637458,0.141794,-39451.4,27388.2,1,1,0.694316,0,0,-1.83968
0.0455033,0.145353,-39451.5,27588.2,1,1,0.699384,0,0,-1.83462
0.0214405,0.134703,-39451.6,27788.1,1,1,0.704452,0,0,-1.82955
-0.000559206,0.124395,-39451.7,27988,1,1,0.70952,0,0,-1.82448
-0.0204962,0.11443,-39451.8,28188,1,1,0.714588,0,0,-1.81941
-0.0383695,0.104808,-39451.9,28387.9,1,1,0.719656,0,0,-1.81434
-0.05418,0.0955287,-39452,28587.8,1,1,0.724724,0,0,-1.80928
-0.0539655,0.0801786,-39452.1,28787.8,1,1,0.729792,0,0,-1.80421
-0.047238,0.0616451,-39452.2,28987.7,1,1,0.73486,0,0,-1.79914
-0.0532621,0.044444,-39452.3,29187.7,1,1,0.739928,0,0,-1.79407
-0.0683726,0.0347382,-39452.4,29387.7,1,1,0.744996,0,0,-1.789
-0.0710151,0.0398192,-39452.5,29587.6,1,1,0.750064,0,0,-1.78394
-0.0727368,0.044659,-39452.6,29787.6,1,1,0.755132,0,0,-1.77887
-0.0735318,0.0492597,-39452.7,29987.5,1,1,0.7602,0,0,-1.7738
-0.0734031,0.0536203,-39452.8,30187.5,1,1,0.765268,0,0,-1.76873
-0.0723506,0.0577407,-39452.9,30387.4,1,1,0.770336,0,0,-1.76366
-0.0703743,0.0616211,-39453,30587.3,1,1,0.775404,0,0,-1.7586
-0.0674744,0.0652612,-39453.2,30787.3,1,1,0.780472,0,0,-1.75353
-0.0636507,0.0686612,-39453.3,30987.2,1,1,0.78554,0,0,-1.74846
-0.0589031,0.0718212,-39453.4,31187.2,1,1,0.790608,0,0,-1.74339
-0.0504443,0.0655638,-39453.5,31387.1,1,1,0.795676,0,0,-1.73832
-0.0408766,0.0582505,-39453.6,31587.1,1,1,0.800744,0,0,-1.73326
-0.030466,0.0508025,-39453.7,31787,1,1,0.805812,0,0,-1.72819
-0.019212,0.0432195,-39453.8,31987,1,1,0.81088,0,0,-1.72312
-0.00711534,0.0355017,-39453.9,32186.9,1,1,0.815948,0,0,-1.71805
-0.00124732,0.0260252,-39454,32386.9,1,1,0.821016,0,0,-1.71298
-0.0214623,0.0109035,-39454.1,32586.9,1,1,0.826084,0,0,-1.70792
-0.0398788,-0.00306398,-39454.3,32786.8,1,1,0.831152,0,0,-1.70285
-0.0565154,-0.015865,-39454.5,32986.8,1,1,0.83622,0,0,-1.69778
-0.0713534,-0.0275118,-39454.6,33186.7,1,1,0.841288,0,0,-1.69271
-0.0765026,-0.0385237,-39454.7,33386.7,1,1,0.846356,0,0,-1.68764
-0.0738766,-0.0486373,-39454.8,33586.6,1,1,0.851424,0,0,-1.68258
-0.0710336,-0.0573189,-39454.9,33786.6,1,1,0.856492,0,0,-1.67751
-0.0679786,-0.0645737,-39455,33986.5,1,1,0.86156,0,0,-1.67244
-0.0647015,-0.0703916,-39455.1,34186.5,1,1,0.866628,0,0,-1.66737
-0.0612019,-0.0747733,-39455.2,34386.4,1,1,0.871696,0,0,-1.6623
-0.0574904,-0.077728,-39455.3,34586.4,1,1,0.876764,0,0,-1.65724
-0.0535618,-0.0792509,-39455.4,34786.3,1,1,0.881832,0,0,-1.65217
-0.0491496,-0.0780759,-39455.5,34986.3,1,1,0.8869,0,0,-1.6471
-0.0400812,-0.0551293,-39455.7,35186.3,1,1,0.891968,0,0,-1.64203
-0.0307677,-0.0320705,-39455.8,35386.3,1,1,0.897036,0,0,-1.63696
-0.0212095,-0.00890058,-39455.9,35586.2,1,1,0.902104,0,0,-1.6319
-0.0114063,0.0143816,-39456,35786.2,1,1,0.907172,0,0,-1.62683
-0.00135847,0.0377748,-39456.2,35986.1,1,1,0.91224,0,0,-1.62176
0.00893447,0.0612803,-39456.3,36186.1,1,1,0.917308,0,0,-1.61669
0.0164388,0.0772221,-39456.4,36386.1,1,1,0.922376,0,0,-1.61162
0.0204792,0.0851028,-39456.5,36586.1,1,1,0.927444,0,0,-1.60656
0.0235561,0.0916073,-39456.6,36786,1,1,0.932512,0,0,-1.60149
0.0256646,0.0967355,-39456.8,36986,1,1,0.93758,0,0,-1.59642
0.0268139,0.100487,-39456.9,37185.9,1,1,0.942648,0,0,-1.59135
0.0269996,0.102862,-39457,37385.9,1,1,0.947716,0,0,-1.58628
0.0262217,0.10386,-39457.1,37585.9,1,1,0.952784,0,0,-1.58122
0.0244801,0.103483,-39457.2,37785.8,1,1,0.957852,0,0,-1.57615
0.021779,0.101728,-39457.3,37985.8,1,1,0.96292,0,0,-1.57108
0.0181099,0.0985979,-39457.4,38185.7,1,1,0.967988,0,0,-1.56601
0.013477,0.0940907,-39457.5,38385.7,1,1,0.973056,0,0,-1.56094
0.00788054,0.0882073,-39457.6,38585.7,1,1,0.978124,0,0,-1.55588
0.00132019,0.0809473,-39457.7,38785.6,1,1,0.983192,0,0,-1.55081
-0.00549345,0.0722109,-39457.8,38985.6,1,1,0.98826,0,0,-1.54574
-0.0104712,0.0624047,-39457.9,39185.6,1,1,0.993328,0,0,-1.54067
-0.0154019,0.052218,-39458,39385.6,1,1,0.998396,0,0,-1.5356
-0.0202855,0.0416507,-39458.1,39585.5,1,1,1.00346,0,0,-1.53054
-0.0251223,0.0307025,-39458.1,39785.5,1,1,1.00853,0,0,-1.52547
-0.0299119,0.0193739,-39458.2,39985.5,1,1,1.0136,0,0,-1.5204
-0.0197627,0.00786261,-39458.3,40185.5,1,1,1.01867,0,0,-1.51533
-0.00323173,-0.00405792,-39458.5,40385.5,1,1,1.02374,0,0,-1.51026
0.0127588,-0.016493,-39458.6,40585.4,1,1,1.0288,0,0,-1.5052
0.0071923,-0.00462008,-39458.7,40785.4,1,1,1.03387,0,0,-1.50013
-0.00102104,0.010116,-39458.8,40985.4,1,1,1.03894,0,0,-1.49506
-0.00862676,0.0239331,-39459,41185.4,1,1,1.04401,0,0,-1.48999
-0.0156252,0.036832,-39459.1,41385.4,1,1,1.04908,0,0,-1.48492
-0.0220161,0.048812,-39459.2,41585.3,1,1,1.05414,0,0,-1.47986
-0.0277996,0.0598737,-39459.3,41785.3,1,1,1.05921,0,0,-1.47479
-0.0374306,0.0704534,-39459.4,41985.3,1,1,1.06428,0,0,-1.46972
-0.0457802,0.0808413,-39459.5,42185.3,1,1,1.06935,0,0,-1.46465
-0.042855,0.083753,-39459.6,42385.3,1,1,1.07442,0,0,-1.45958
-0.0383863,0.0847862,-39459.8,42585.2,1,1,1.07948,0,0,-1.45452
-0.0323738,0.0839409,-39459.9,42785.2,1,1,1.08455,0,0,-1.44945
-0.0248179,0.0812171,-39460.1,42985.2,1,1,1.08962,0,0,-1.44438
-0.0157182,0.0766147,-39460.2,43185.2,1,1,1.09469,0,0,-1.43931
-0.00506953,0.0701343,-39460.4,43385.2,1,1,1.09976,0,0,-1.43424
0.00711777,0.0617743,-39460.5,43585.2,1,1,1.10482,0,0,-1.42918
0.0208484,0.051536,-39460.7,43785.1,1,1,1.10989,0,0,-1.42411
0.0361231,0.0394187,-39460.9,43985.1,1,1,1.11496,0,0,-1.41904
0.0498501,0.0252753,-39461,44185.1,1,1,1.12003,0,0,-1.41397
0.0493031,0.0165891,-39461.1,44385.1,1,1,1.1251,0,0,-1.4089
0.0573131,0.0119499,-39461.2,44585.1,1,1,1.13016,0,0,-1.40384
0.0486006,-0.000618398,-39461.3,44785.1,1,1,1.13523,0,0,-1.39877
0.04058,-0.0124519,-39461.4,44985.1,1,1,1.1403,0,0,-1.3937
0.0332513,-0.0235508,-39461.5,45185.1,1,1,1.14537,0,0,-1.38863
0.0266142,-0.0339155,-39461.6,45385.1,1,1,1.15044,0,0,-1.38356
0.0206669,-0.0435484,-39461.7,45585.1,1,1,1.1555,0,0,-1.3785
0.0154136,-0.0524438,-39461.8,45785.1,1,1,1.16057,0,0,-1.37343
0.0108522,-0.0606044,-39461.9,45985.1,1,1,1.16564,0,0,-1.36836
0.0069825,-0.0680307,-39462,46185,1,1,1.17071,0,0,-1.36329
0.00380464,-0.0747224,-39462.1,46385,1,1,1.17578,0,0,-1.35822
0.00131849,-0.0806797,-39462.3,46585,1,1,1.18084,0,0,-1.35316
-0.000478769,-0.0859064,-39462.4,46785,1,1,1.18591,0,0,-1.34809
-0.00158126,-0.0903945,-39462.5,46985,1,1,1.19098,0,0,-1.34302
-0.00199199,-0.094148,-39462.6,47185,1,1,1.19605,0,0,-1.33795
-0.00170812,-0.0971634,-39462.7,47385,1,1,1.20112,0,0,-1.33288
-0.000735338,-0.099448,-39462.8,47585,1,1,1.20618,0,0,-1.32782
0.00219642,-0.0948539,-39462.9,47785,1,1,1.21125,0,0,-1.32275
0.00840771,-0.0795644,-39463,47985,1,1,1.21632,0,0,-1.31768
0.0165935,-0.0608461,-39463.1,48185,1,1,1.22139,0,0,-1.31261
0.0267578,-0.0387012,-39463.2,48385,1,1,1.22646,0,0,-1.30754
0.0388931,-0.0131247,-39463.3,48585,1,1,1.23152,0,0,-1.30248
0.0530034,0.0158813,-39463.4,48785,1,1,1.23659,0,0,-1.29741
0.0690879,0.0483155,-39463.5,48985,1,1,1.24166,0,0,-1.29234
0.0561381,0.0536995,-39463.7,49185,1,1,1.24673,0,0,-1.28727
0.0391565,0.0547404,-39463.8,49385,1,1,1.2518,0,0,-1.2822
0.0225447,0.0556436,-39463.9,49585,1,1,1.25686,0,0,-1.27714
0.00630338,0.0564089,-39464,49785,1,1,1.26193,0,0,-1.27207
-0.00956818,0.0570364,-39464.1,49985,1,1,1.267,0,0,-1.267
-0.0243739,0.0689775,-39464.3,50185,1,1,1.27207,0,0,-1.26193
-0.0389378,0.0798463,-39464.4,50385,1,1,1.27714,0,0,-1.25686
-0.0532265,0.0900623,-39464.5,50585,1,1,1.2822,0,0,-1.2518
-0.0672429,0.0996203,-39464.6,50785,1,1,1.28727,0,0,-1.24673
-0.0809863,0.10852,-39464.7,50985,1,1,1.29234,0,0,-1.24166
-0.0902568,0.103063,-39464.9,51185.1,1,1,1.29741,0,0,-1.23659
-0.096581,0.084775,-39465,51385.1,1,1,1.30248,0,0,-1.23152
-0.104348,0.0669536,-39465.1,51585.1,1,1,1.30754,0,0,-1.22646
-0.113559,0.0495976,-39465.2,51785.1,1,1,1.31261,0,0,-1.22139
-0.124212,0.0327077,-39465.3,51985.1,1,1,1.31768,0,0,-1.21632
-0.136309,0.0162831,-39465.5,52185.1,1,1,1.32275,0,0,-1.21125
-0.149853,0.000326444,-39465.6,52385.1,1,1,1.32782,0,0,-1.20618
-0.146404,-0.0111506,-39465.7,52585.1,1,1,1.33288,0,0,-1.20112
-0.126366,-0.0192852,-39465.9,52785.2,1,1,1.33795,0,0,-1.19605
-0.105135,-0.0277447,-39466,52985.2,1,1,1.34302,0,0,-1.19098
-0.082708,-0.0365311,-39466.1,53185.2,1,1,1.34809,0,0,-1.18591
-0.0590839,-0.045649,-39466.3,53385.2,1,1,1.35316,0,0,-1.18084
-0.0342665,-0.0550892,-39466.4,53585.2,1,1,1.35822,0,0,-1.17578
-0.00825294,-0.0648567,-39466.5,53785.2,1,1,1.36329,0,0,-1.17071
0.0189572,-0.0749471,-39466.6,53985.2,1,1,1.36836,0,0,-1.16564
0.0473624,-0.0853685,-39466.8,54185.2,1,1,1.37343,0,0,-1.16057
0.076964,-0.0961173,-39466.9,54385.2,1,1,1.3785,0,0,-1.1555
0.107763,-0.107191,-39467,54585.3,1,1,1.38356,0,0,-1.15044
0.131915,-0.11101,-39467.1,54785.3,1,1,1.38863,0,0,-1.14537
0.129526,-0.106362,-39467.2,54985.3,1,1,1.3937,0,0,-1.1403
0.123578,-0.0798302,-39467.3,55185.4,1,1,1.39877,0,0,-1.13523
0.117431,-0.0533124,-39467.4,55385.4,1,1,1.40384,0,0,-1.13016
0.111085,-0.0268074,-39467.5,55585.4,1,1,1.4089,0,0,-1.1251
0.104551,-0.000310182,-39467.6,55785.4,1,1,1.41397,0,0,-1.12003
